"Tabela 6449 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Variável - Número de empresas e outras organizações (Unidades)"
"Município";"Ano x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Município";"2015"
"Município";"Total";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";"B Indústrias extrativas";"C Indústrias de transformação";"D Eletricidade e gás";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";"F Construção";"G Comércio; reparação de veículos automotores e motocicletas";"H Transporte, armazenagem e correio";"I Alojamento e alimentação";"J Informação e comunicação";"K Atividades financeiras, de seguros e serviços relacionados";"L Atividades imobiliárias";"M Atividades profissionais, científicas e técnicas";"N Atividades administrativas e serviços complementares";"O Administração pública, defesa e seguridade social";"P Educação";"Q Saúde humana e serviços sociais";"R Artes, cultura, esporte e recreação";"S Outras atividades de serviços";"T Serviços domésticos";"U Organismos internacionais e outras instituições extraterritoriais"
"Alenquer (PA)";"227";"2";"-";"8";"-";"-";"5";"161";"7";"1";"2";"2";"-";"3";"5";"3";"6";"7";"1";"14";"-";"-"
"Almeirim (PA)";"487";"10";"1";"14";"2";"-";"11";"321";"26";"24";"3";"-";"-";"9";"11";"2";"30";"9";"2";"12";"-";"-"
"Altamira (PA)";"2055";"18";"13";"142";"1";"3";"111";"1086";"49";"136";"19";"4";"18";"67";"94";"5";"103";"76";"18";"92";"-";"-"
"Anajás (PA)";"62";"-";"-";"3";"-";"-";"-";"48";"2";"1";"-";"-";"-";"1";"1";"2";"-";"2";"-";"2";"-";"-"
"Ananindeua (PA)";"4104";"15";"4";"355";"-";"16";"332";"1949";"206";"149";"46";"35";"27";"146";"313";"5";"191";"108";"41";"166";"-";"-"
"Anapu (PA)";"183";"1";"2";"20";"-";"-";"5";"108";"2";"8";"1";"1";"-";"-";"3";"2";"21";"1";"1";"7";"-";"-"
"Augusto Corrêa (PA)";"168";"-";"-";"8";"-";"-";"4";"67";"2";"3";"1";"-";"-";"2";"1";"2";"55";"2";"1";"20";"-";"-"
"Aurora do Pará (PA)";"61";"2";"-";"6";"-";"1";"1";"34";"2";"2";"-";"-";"-";"4";"2";"3";"-";"-";"-";"4";"-";"-"
"Aveiro (PA)";"48";"-";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"-";"2";"28";"-";"-";"3";"-";"-"
"Bagre (PA)";"32";"-";"-";"2";"-";"-";"-";"23";"2";"1";"-";"-";"-";"-";"-";"1";"-";"-";"-";"3";"-";"-"
"Baião (PA)";"108";"3";"-";"7";"-";"1";"6";"66";"3";"-";"3";"-";"-";"3";"2";"2";"1";"-";"1";"10";"-";"-"
"Bannach (PA)";"24";"1";"-";"3";"-";"-";"-";"15";"-";"1";"1";"-";"-";"1";"-";"2";"-";"-";"-";"-";"-";"-"
"Barcarena (PA)";"951";"4";"-";"78";"1";"9";"85";"390";"48";"51";"5";"1";"3";"42";"55";"3";"100";"27";"8";"41";"-";"-"
"Belém (PA)";"17980";"73";"9";"876";"3";"25";"1061";"7345";"486";"1045";"349";"260";"180";"1137";"1895";"98";"587";"1068";"266";"1214";"-";"3"
"Belterra (PA)";"50";"3";"-";"1";"-";"-";"1";"19";"7";"4";"-";"-";"-";"-";"-";"2";"6";"-";"-";"7";"-";"-"
"Benevides (PA)";"590";"11";"2";"85";"-";"3";"30";"290";"27";"21";"2";"2";"2";"13";"26";"3";"33";"8";"4";"28";"-";"-"
"Bom Jesus do Tocantins (PA)";"130";"4";"1";"13";"-";"-";"2";"62";"2";"-";"-";"-";"-";"3";"2";"4";"12";"1";"1";"23";"-";"-"
"Bonito (PA)";"27";"2";"-";"2";"-";"-";"1";"11";"5";"1";"-";"-";"-";"1";"1";"3";"-";"-";"-";"-";"-";"-"
"Bragança (PA)";"847";"9";"-";"46";"-";"2";"39";"457";"17";"34";"12";"-";"3";"17";"21";"2";"88";"22";"9";"69";"-";"-"
"Brasil Novo (PA)";"124";"2";"-";"10";"-";"-";"2";"77";"2";"2";"2";"-";"3";"2";"1";"2";"14";"2";"-";"3";"-";"-"
"Brejo Grande do Araguaia (PA)";"34";"2";"-";"1";"-";"-";"1";"25";"-";"1";"-";"-";"-";"1";"-";"2";"-";"-";"-";"1";"-";"-"
"Breu Branco (PA)";"267";"8";"3";"24";"-";"-";"18";"135";"4";"10";"1";"-";"-";"4";"9";"2";"30";"7";"-";"12";"-";"-"
"Breves (PA)";"451";"2";"-";"31";"-";"-";"19";"313";"12";"9";"5";"-";"-";"10";"10";"3";"12";"7";"5";"13";"-";"-"
"Bujaru (PA)";"58";"2";"-";"6";"-";"-";"3";"35";"3";"-";"-";"-";"-";"-";"1";"2";"1";"1";"-";"4";"-";"-"
"Cachoeira do Piriá (PA)";"66";"-";"3";"2";"-";"-";"1";"25";"2";"1";"-";"-";"-";"-";"3";"3";"18";"-";"1";"7";"-";"-"
"Cachoeira do Arari (PA)";"53";"-";"-";"-";"-";"-";"-";"33";"1";"-";"1";"-";"-";"-";"1";"2";"-";"-";"-";"15";"-";"-"
"Cametá (PA)";"512";"1";"-";"14";"-";"-";"13";"309";"3";"10";"4";"-";"-";"2";"6";"4";"115";"10";"2";"19";"-";"-"
"Canaã dos Carajás (PA)";"851";"5";"7";"44";"-";"1";"68";"407";"19";"86";"9";"1";"21";"29";"43";"3";"33";"40";"7";"28";"-";"-"
"Capanema (PA)";"701";"4";"-";"46";"-";"3";"25";"432";"21";"24";"7";"1";"4";"26";"21";"2";"22";"21";"7";"35";"-";"-"
"Capitão Poço (PA)";"352";"10";"6";"10";"-";"-";"6";"198";"5";"5";"2";"-";"-";"8";"8";"2";"66";"6";"3";"17";"-";"-"
"Castanhal (PA)";"2693";"13";"1";"265";"-";"11";"118";"1414";"101";"117";"27";"14";"29";"70";"114";"6";"138";"83";"33";"139";"-";"-"
"Chaves (PA)";"13";"2";"-";"2";"-";"-";"-";"3";"-";"-";"-";"-";"-";"1";"-";"2";"-";"-";"-";"3";"-";"-"
"Colares (PA)";"31";"-";"-";"-";"-";"-";"-";"16";"-";"-";"-";"-";"-";"-";"1";"2";"2";"1";"2";"7";"-";"-"
"Conceição do Araguaia (PA)";"498";"6";"2";"30";"-";"1";"22";"264";"9";"11";"6";"2";"4";"13";"15";"4";"28";"12";"3";"66";"-";"-"
"Concórdia do Pará (PA)";"130";"3";"-";"4";"-";"-";"5";"92";"5";"4";"1";"-";"-";"4";"1";"2";"1";"1";"-";"7";"-";"-"
"Cumaru do Norte (PA)";"45";"9";"1";"2";"-";"-";"1";"16";"-";"-";"1";"-";"-";"-";"1";"2";"10";"-";"-";"2";"-";"-"
"Curionópolis (PA)";"145";"-";"6";"6";"-";"-";"5";"88";"1";"9";"2";"-";"4";"6";"3";"2";"2";"7";"-";"4";"-";"-"
"Curralinho (PA)";"59";"2";"-";"1";"-";"-";"1";"40";"1";"1";"-";"-";"-";"-";"1";"2";"-";"2";"1";"7";"-";"-"
"Curuá (PA)";"29";"-";"-";"-";"-";"-";"1";"20";"2";"-";"-";"-";"-";"-";"-";"3";"1";"-";"-";"2";"-";"-"
"Curuçá (PA)";"168";"1";"-";"9";"-";"-";"4";"99";"3";"3";"1";"-";"1";"4";"3";"3";"7";"2";"-";"28";"-";"-"
"Dom Eliseu (PA)";"492";"26";"-";"39";"-";"2";"17";"262";"12";"16";"3";"1";"2";"14";"10";"3";"41";"11";"2";"31";"-";"-"
"Eldorado do Carajás (PA)";"214";"2";"3";"16";"-";"2";"8";"132";"5";"9";"1";"-";"-";"5";"3";"2";"8";"5";"-";"13";"-";"-"
"Faro (PA)";"26";"-";"-";"1";"-";"-";"-";"15";"-";"1";"-";"-";"-";"1";"1";"3";"1";"-";"-";"3";"-";"-"
"Floresta do Araguaia (PA)";"103";"5";"-";"5";"-";"-";"1";"57";"3";"4";"-";"-";"-";"2";"-";"2";"4";"2";"-";"18";"-";"-"
"Garrafão do Norte (PA)";"63";"5";"-";"1";"-";"-";"1";"48";"-";"-";"1";"-";"-";"1";"2";"2";"-";"-";"-";"2";"-";"-"
"Goianésia do Pará (PA)";"226";"20";"-";"39";"-";"-";"8";"118";"5";"6";"2";"-";"-";"6";"4";"2";"8";"2";"1";"5";"-";"-"
"Gurupá (PA)";"67";"-";"-";"-";"-";"-";"1";"54";"1";"-";"-";"-";"-";"1";"1";"2";"-";"-";"-";"7";"-";"-"
"Igarapé-Açu (PA)";"241";"12";"-";"3";"-";"1";"2";"135";"1";"6";"-";"-";"-";"7";"5";"2";"25";"9";"6";"27";"-";"-"
"Igarapé-Miri (PA)";"332";"3";"1";"22";"-";"1";"3";"169";"3";"2";"-";"-";"-";"3";"3";"2";"99";"6";"2";"13";"-";"-"
"Inhangapi (PA)";"37";"2";"-";"7";"-";"-";"1";"10";"2";"1";"-";"-";"-";"1";"-";"5";"3";"-";"-";"5";"-";"-"
"Ipixuna do Pará (PA)";"143";"12";"-";"11";"-";"-";"7";"65";"1";"3";"-";"-";"1";"-";"4";"3";"27";"1";"2";"6";"-";"-"
"Irituia (PA)";"106";"2";"-";"15";"-";"-";"3";"46";"-";"1";"1";"-";"-";"1";"1";"2";"17";"1";"-";"16";"-";"-"
"Itaituba (PA)";"1536";"13";"21";"105";"1";"1";"57";"918";"33";"57";"15";"5";"7";"47";"54";"3";"87";"33";"12";"67";"-";"-"
"Itupiranga (PA)";"218";"2";"2";"9";"-";"-";"7";"125";"1";"7";"4";"1";"-";"7";"5";"4";"31";"-";"1";"12";"-";"-"
"Jacareacanga (PA)";"64";"2";"1";"7";"-";"-";"2";"32";"1";"9";"1";"-";"-";"-";"3";"2";"2";"-";"-";"2";"-";"-"
"Jacundá (PA)";"404";"12";"-";"80";"-";"1";"15";"215";"11";"9";"3";"1";"1";"11";"9";"2";"7";"10";"3";"14";"-";"-"
"Juruti (PA)";"205";"1";"-";"11";"-";"-";"18";"124";"3";"6";"3";"-";"-";"8";"8";"2";"7";"4";"3";"7";"-";"-"
"Limoeiro do Ajuru (PA)";"50";"1";"-";"-";"-";"1";"-";"26";"-";"2";"-";"-";"-";"1";"1";"2";"13";"1";"-";"2";"-";"-"
"Mãe do Rio (PA)";"296";"2";"-";"12";"-";"1";"8";"180";"6";"10";"2";"-";"-";"11";"5";"2";"38";"4";"5";"10";"-";"-"
"Magalhães Barata (PA)";"35";"1";"-";"-";"-";"-";"-";"14";"1";"-";"-";"-";"-";"1";"1";"2";"7";"2";"1";"5";"-";"-"
"Marabá (PA)";"3506";"12";"19";"231";"-";"11";"201";"1705";"91";"200";"46";"34";"53";"160";"146";"7";"263";"156";"32";"139";"-";"-"
"Maracanã (PA)";"80";"-";"-";"2";"-";"-";"1";"40";"2";"2";"-";"-";"-";"-";"-";"2";"15";"2";"1";"13";"-";"-"
"Marapanim (PA)";"95";"1";"-";"4";"-";"-";"2";"58";"3";"2";"-";"1";"1";"-";"1";"1";"1";"-";"-";"20";"-";"-"
"Marituba (PA)";"725";"-";"-";"89";"-";"3";"51";"353";"58";"29";"3";"2";"4";"10";"35";"2";"45";"6";"4";"31";"-";"-"
"Medicilândia (PA)";"116";"5";"-";"3";"-";"-";"4";"79";"2";"2";"1";"-";"-";"3";"4";"2";"1";"3";"-";"7";"-";"-"
"Melgaço (PA)";"44";"-";"-";"1";"-";"-";"-";"37";"-";"2";"-";"-";"-";"-";"1";"2";"-";"-";"-";"1";"-";"-"
"Mocajuba (PA)";"107";"-";"-";"2";"-";"-";"2";"76";"1";"1";"1";"-";"-";"4";"2";"2";"2";"-";"-";"14";"-";"-"
"Moju (PA)";"321";"12";"-";"55";"-";"-";"19";"156";"12";"9";"-";"-";"-";"6";"9";"3";"15";"4";"-";"21";"-";"-"
"Mojuí dos Campos (PA)";"68";"-";"-";"4";"-";"-";"2";"11";"7";"-";"-";"-";"-";"2";"2";"-";"36";"2";"-";"2";"-";"-"
"Monte Alegre (PA)";"210";"3";"1";"4";"-";"-";"4";"147";"5";"3";"1";"2";"-";"4";"3";"2";"9";"4";"2";"16";"-";"-"
"Muaná (PA)";"39";"2";"-";"4";"-";"-";"1";"20";"2";"1";"-";"-";"1";"-";"1";"4";"-";"-";"-";"3";"-";"-"
"Nova Esperança do Piriá (PA)";"65";"-";"-";"1";"-";"-";"3";"48";"-";"2";"-";"-";"-";"-";"-";"3";"4";"-";"-";"4";"-";"-"
"Nova Ipixuna (PA)";"91";"2";"1";"16";"-";"-";"1";"45";"1";"5";"-";"-";"-";"3";"5";"2";"1";"3";"-";"6";"-";"-"
"Nova Timboteua (PA)";"56";"3";"1";"2";"-";"-";"1";"29";"6";"2";"1";"-";"-";"2";"3";"2";"-";"1";"-";"3";"-";"-"
"Novo Progresso (PA)";"632";"8";"5";"76";"-";"4";"20";"386";"25";"19";"9";"1";"5";"17";"19";"2";"9";"10";"2";"15";"-";"-"
"Novo Repartimento (PA)";"426";"5";"-";"41";"-";"1";"10";"300";"7";"13";"2";"-";"-";"12";"8";"2";"4";"9";"2";"10";"-";"-"
"Óbidos (PA)";"303";"4";"-";"24";"-";"-";"8";"199";"12";"7";"5";"1";"-";"5";"5";"4";"-";"8";"5";"16";"-";"-"
"Oeiras do Pará (PA)";"83";"-";"-";"3";"-";"-";"3";"63";"3";"2";"-";"-";"-";"-";"-";"4";"1";"-";"2";"2";"-";"-"
"Oriximiná (PA)";"414";"4";"3";"26";"-";"1";"21";"219";"18";"16";"8";"2";"-";"14";"11";"2";"25";"12";"5";"27";"-";"-"
"Ourém (PA)";"91";"1";"4";"6";"-";"-";"-";"57";"2";"1";"-";"-";"-";"1";"1";"2";"4";"3";"2";"7";"-";"-"
"Ourilândia do Norte (PA)";"272";"-";"2";"17";"-";"-";"10";"163";"10";"23";"2";"-";"3";"10";"10";"3";"4";"9";"-";"6";"-";"-"
"Pacajá (PA)";"164";"1";"2";"11";"-";"-";"5";"122";"-";"4";"2";"1";"2";"4";"-";"3";"2";"-";"1";"4";"-";"-"
"Palestina do Pará (PA)";"27";"1";"1";"2";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-"
"Paragominas (PA)";"1240";"39";"2";"135";"-";"9";"68";"587";"56";"64";"14";"6";"10";"46";"60";"3";"29";"43";"13";"56";"-";"-"
"Parauapebas (PA)";"3048";"1";"4";"168";"1";"8";"227";"1594";"80";"217";"38";"14";"51";"146";"153";"3";"112";"117";"30";"84";"-";"-"
"Pau D'Arco (PA)";"51";"3";"-";"1";"-";"-";"3";"26";"-";"2";"-";"-";"1";"1";"3";"2";"-";"-";"-";"9";"-";"-"
"Peixe-Boi (PA)";"19";"2";"-";"-";"-";"-";"2";"9";"1";"1";"-";"-";"-";"-";"-";"2";"-";"-";"-";"2";"-";"-"
"Piçarra (PA)";"103";"1";"-";"6";"-";"-";"1";"64";"2";"3";"1";"-";"-";"2";"2";"4";"2";"-";"-";"15";"-";"-"
"Placas (PA)";"119";"2";"1";"14";"-";"-";"2";"82";"-";"4";"-";"-";"-";"-";"3";"2";"-";"-";"-";"9";"-";"-"
"Ponta de Pedras (PA)";"116";"2";"-";"1";"-";"-";"-";"45";"3";"1";"1";"-";"-";"-";"1";"2";"30";"-";"-";"30";"-";"-"
"Portel (PA)";"378";"7";"-";"13";"-";"-";"14";"197";"2";"2";"1";"-";"-";"1";"2";"3";"122";"2";"-";"12";"-";"-"
"Porto de Moz (PA)";"107";"1";"-";"2";"-";"-";"4";"86";"3";"1";"2";"-";"-";"-";"3";"2";"1";"-";"1";"1";"-";"-"
"Prainha (PA)";"56";"4";"-";"3";"-";"-";"2";"33";"4";"1";"-";"-";"-";"1";"-";"1";"4";"-";"-";"3";"-";"-"
"Primavera (PA)";"54";"2";"-";"1";"-";"1";"-";"21";"1";"2";"-";"-";"-";"-";"3";"1";"12";"1";"-";"9";"-";"-"
"Quatipuru (PA)";"27";"-";"-";"1";"-";"-";"1";"20";"1";"-";"-";"-";"-";"-";"1";"2";"-";"-";"-";"1";"-";"-"
"Redenção (PA)";"1439";"16";"2";"113";"-";"6";"72";"740";"44";"61";"23";"13";"14";"41";"60";"5";"77";"70";"13";"69";"-";"-"
"Rio Maria (PA)";"249";"2";"1";"29";"-";"-";"9";"126";"14";"6";"2";"2";"1";"12";"8";"6";"15";"8";"-";"8";"-";"-"
"Rondon do Pará (PA)";"533";"27";"3";"65";"-";"2";"17";"298";"15";"13";"9";"1";"1";"20";"10";"3";"11";"13";"6";"19";"-";"-"
"Rurópolis (PA)";"206";"2";"3";"16";"-";"-";"9";"109";"7";"9";"1";"2";"-";"2";"6";"3";"6";"3";"-";"28";"-";"-"
"Salinópolis (PA)";"383";"3";"-";"5";"-";"-";"7";"151";"3";"40";"1";"-";"16";"4";"101";"2";"17";"1";"6";"26";"-";"-"
"Salvaterra (PA)";"125";"3";"-";"3";"-";"-";"2";"56";"5";"5";"-";"-";"-";"3";"1";"3";"24";"1";"-";"19";"-";"-"
"Santa Bárbara do Pará (PA)";"118";"3";"2";"22";"-";"1";"5";"38";"2";"1";"2";"1";"4";"3";"2";"1";"18";"-";"-";"13";"-";"-"
"Santa Cruz do Arari (PA)";"16";"-";"-";"-";"-";"1";"-";"7";"-";"-";"-";"-";"-";"-";"1";"3";"-";"1";"-";"3";"-";"-"
"Santa Izabel do Pará (PA)";"434";"13";"-";"53";"-";"2";"17";"208";"9";"16";"1";"2";"2";"12";"12";"3";"46";"12";"3";"23";"-";"-"
"Santa Luzia do Pará (PA)";"70";"1";"-";"6";"-";"1";"4";"45";"-";"3";"-";"-";"-";"2";"2";"2";"1";"-";"-";"3";"-";"-"
"Santa Maria das Barreiras (PA)";"107";"7";"-";"7";"-";"-";"3";"53";"1";"3";"2";"-";"1";"-";"1";"2";"2";"2";"-";"23";"-";"-"
"Santa Maria do Pará (PA)";"173";"-";"-";"23";"-";"-";"5";"112";"4";"7";"1";"-";"1";"3";"4";"2";"-";"3";"3";"5";"-";"-"
"Santana do Araguaia (PA)";"430";"14";"2";"33";"-";"1";"13";"270";"12";"14";"7";"-";"1";"13";"8";"3";"10";"9";"1";"19";"-";"-"
"Santarém (PA)";"4227";"25";"7";"291";"1";"2";"144";"2134";"182";"215";"42";"10";"22";"108";"142";"5";"401";"168";"45";"283";"-";"-"
"Santarém Novo (PA)";"8";"-";"-";"-";"-";"-";"2";"2";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"2";"-";"-"
"Santo Antônio do Tauá (PA)";"151";"4";"2";"5";"-";"-";"4";"81";"5";"-";"1";"1";"-";"2";"1";"2";"7";"1";"4";"31";"-";"-"
"São Caetano de Odivelas (PA)";"78";"1";"-";"2";"-";"-";"-";"52";"1";"-";"-";"-";"-";"1";"1";"2";"11";"-";"-";"7";"-";"-"
"São Domingos do Araguaia (PA)";"138";"-";"-";"5";"-";"-";"6";"73";"2";"3";"-";"-";"1";"1";"4";"4";"29";"9";"-";"1";"-";"-"
"São Domingos do Capim (PA)";"93";"1";"-";"3";"-";"-";"1";"44";"3";"2";"-";"-";"-";"1";"1";"2";"14";"-";"1";"20";"-";"-"
"São Félix do Xingu (PA)";"545";"15";"4";"34";"-";"1";"10";"277";"11";"20";"2";"-";"3";"8";"8";"4";"48";"10";"5";"85";"-";"-"
"São Francisco do Pará (PA)";"62";"4";"-";"2";"-";"-";"1";"27";"-";"4";"1";"-";"-";"-";"1";"2";"14";"-";"-";"6";"-";"-"
"São Geraldo do Araguaia (PA)";"265";"2";"-";"15";"-";"1";"7";"169";"9";"13";"2";"-";"1";"12";"10";"3";"1";"4";"1";"15";"-";"-"
"São João da Ponta (PA)";"12";"2";"-";"-";"-";"-";"-";"5";"-";"1";"-";"-";"-";"-";"-";"2";"-";"-";"-";"2";"-";"-"
"São João de Pirabas (PA)";"77";"1";"-";"6";"-";"-";"-";"55";"1";"-";"-";"-";"-";"-";"-";"2";"4";"1";"1";"6";"-";"-"
"São João do Araguaia (PA)";"46";"1";"1";"4";"-";"-";"1";"13";"-";"-";"-";"-";"-";"-";"1";"2";"17";"-";"-";"6";"-";"-"
"São Miguel do Guamá (PA)";"421";"2";"-";"88";"-";"1";"8";"200";"14";"16";"4";"1";"1";"7";"10";"2";"15";"9";"3";"40";"-";"-"
"São Sebastião da Boa Vista (PA)";"61";"1";"-";"-";"-";"-";"-";"46";"3";"-";"-";"-";"-";"1";"3";"4";"-";"-";"1";"2";"-";"-"
"Sapucaia (PA)";"36";"-";"-";"3";"-";"-";"1";"23";"1";"1";"-";"-";"-";"1";"1";"3";"-";"1";"-";"1";"-";"-"
"Senador José Porfírio (PA)";"45";"-";"-";"4";"-";"-";"-";"22";"1";"-";"-";"-";"-";"-";"-";"3";"14";"-";"-";"1";"-";"-"
"Soure (PA)";"141";"6";"-";"2";"-";"-";"3";"82";"5";"9";"3";"-";"-";"1";"2";"3";"3";"4";"1";"17";"-";"-"
"Tailândia (PA)";"603";"25";"1";"70";"-";"-";"35";"326";"36";"30";"4";"-";"3";"10";"20";"2";"7";"14";"3";"17";"-";"-"
"Terra Alta (PA)";"41";"1";"-";"3";"-";"-";"-";"15";"1";"1";"-";"-";"-";"-";"1";"2";"15";"-";"-";"2";"-";"-"
"Terra Santa (PA)";"112";"-";"-";"6";"-";"-";"4";"73";"5";"2";"-";"-";"-";"1";"4";"3";"13";"1";"-";"-";"-";"-"
"Tomé-Açu (PA)";"585";"20";"-";"61";"-";"3";"23";"330";"19";"30";"8";"2";"2";"17";"14";"2";"4";"9";"4";"37";"-";"-"
"Tracuateua (PA)";"78";"-";"1";"-";"-";"-";"-";"37";"9";"1";"-";"-";"-";"1";"-";"2";"12";"1";"1";"13";"-";"-"
"Trairão (PA)";"101";"1";"-";"19";"-";"-";"4";"66";"4";"-";"-";"-";"-";"-";"2";"2";"-";"-";"-";"3";"-";"-"
"Tucumã (PA)";"518";"5";"2";"43";"-";"2";"15";"301";"16";"27";"4";"3";"1";"13";"12";"3";"12";"12";"2";"45";"-";"-"
"Tucuruí (PA)";"936";"6";"-";"65";"-";"2";"43";"519";"14";"44";"11";"4";"-";"37";"31";"4";"78";"29";"11";"38";"-";"-"
"Ulianópolis (PA)";"177";"7";"-";"43";"-";"-";"3";"99";"5";"3";"1";"-";"-";"2";"5";"2";"1";"2";"-";"4";"-";"-"
"Uruará (PA)";"315";"4";"-";"51";"-";"-";"10";"191";"5";"8";"3";"-";"-";"7";"6";"2";"9";"5";"1";"13";"-";"-"
"Vigia (PA)";"283";"11";"1";"12";"-";"1";"3";"177";"3";"4";"2";"-";"-";"-";"2";"2";"45";"2";"2";"16";"-";"-"
"Viseu (PA)";"125";"3";"1";"8";"-";"-";"5";"45";"1";"-";"1";"-";"-";"1";"2";"2";"41";"1";"-";"14";"-";"-"
"Vitória do Xingu (PA)";"102";"5";"-";"4";"-";"-";"3";"40";"4";"15";"-";"-";"3";"1";"1";"4";"12";"-";"-";"10";"-";"-"
"Xinguara (PA)";"720";"8";"7";"57";"-";"1";"39";"427";"20";"31";"5";"5";"7";"26";"17";"4";"14";"30";"3";"19";"-";"-"
"Serra do Navio (AP)";"30";"-";"-";"1";"-";"1";"-";"14";"1";"2";"-";"-";"-";"-";"1";"3";"3";"1";"-";"3";"-";"-"
"Amapá (AP)";"55";"-";"-";"-";"-";"-";"1";"27";"1";"1";"-";"-";"1";"1";"-";"3";"15";"1";"-";"4";"-";"-"
"Pedra Branca do Amapari (AP)";"84";"3";"1";"10";"-";"-";"9";"34";"4";"10";"-";"-";"-";"-";"2";"3";"5";"2";"-";"1";"-";"-"
"Calçoene (AP)";"69";"1";"2";"2";"-";"-";"1";"43";"-";"2";"-";"-";"-";"-";"3";"5";"9";"-";"-";"1";"-";"-"
"Cutias (AP)";"19";"-";"-";"-";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"-";"2";"9";"-";"-";"2";"-";"-"
"Ferreira Gomes (AP)";"49";"-";"2";"1";"-";"-";"2";"18";"2";"8";"-";"-";"-";"3";"-";"4";"6";"1";"-";"2";"-";"-"
"Itaubal (AP)";"24";"1";"-";"-";"-";"-";"-";"4";"1";"-";"-";"-";"-";"-";"1";"3";"12";"-";"-";"2";"-";"-"
"Laranjal do Jari (AP)";"370";"2";"1";"15";"-";"1";"23";"216";"13";"18";"4";"-";"-";"6";"10";"4";"41";"4";"3";"9";"-";"-"
"Macapá (AP)";"5542";"20";"7";"252";"1";"15";"349";"2788";"102";"341";"58";"31";"42";"246";"332";"23";"353";"191";"62";"329";"-";"-"
"Mazagão (AP)";"72";"1";"1";"5";"-";"-";"5";"21";"-";"3";"-";"-";"-";"1";"1";"3";"25";"1";"1";"4";"-";"-"
"Oiapoque (AP)";"200";"-";"3";"14";"-";"-";"2";"128";"2";"17";"1";"1";"-";"3";"5";"3";"9";"2";"1";"9";"-";"-"
"Porto Grande (AP)";"153";"1";"5";"12";"1";"-";"6";"83";"1";"10";"-";"-";"-";"-";"3";"2";"21";"1";"-";"7";"-";"-"
"Pracuúba (AP)";"12";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"4";"6";"-";"-";"1";"-";"-"
"Santana (AP)";"845";"2";"2";"68";"-";"3";"50";"491";"32";"39";"7";"4";"2";"14";"31";"2";"52";"14";"8";"24";"-";"-"
"Tartarugalzinho (AP)";"48";"1";"1";"2";"-";"-";"3";"16";"-";"1";"-";"-";"-";"-";"1";"3";"16";"-";"1";"3";"-";"-"
"Vitória do Jari (AP)";"68";"-";"-";"1";"-";"-";"6";"31";"5";"-";"-";"-";"-";"1";"1";"2";"15";"-";"-";"6";"-";"-"
"Abreulândia (TO)";"28";"3";"-";"-";"-";"-";"2";"14";"-";"1";"1";"-";"-";"1";"1";"4";"-";"-";"-";"1";"-";"-"
"Aguiarnópolis (TO)";"46";"1";"2";"1";"-";"-";"6";"17";"5";"7";"-";"-";"-";"-";"-";"4";"2";"-";"-";"1";"-";"-"
"Aliança do Tocantins (TO)";"80";"3";"1";"2";"-";"-";"4";"45";"4";"3";"-";"-";"-";"2";"2";"2";"2";"-";"-";"10";"-";"-"
"Almas (TO)";"85";"6";"2";"6";"-";"-";"4";"47";"2";"5";"-";"1";"-";"3";"2";"2";"1";"1";"-";"3";"-";"-"
"Alvorada (TO)";"277";"3";"-";"12";"-";"-";"17";"154";"24";"11";"1";"-";"1";"15";"8";"5";"2";"8";"4";"12";"-";"-"
"Ananás (TO)";"132";"5";"1";"7";"-";"1";"3";"77";"2";"2";"-";"-";"-";"9";"2";"2";"4";"3";"1";"13";"-";"-"
"Angico (TO)";"31";"1";"-";"-";"-";"-";"4";"17";"1";"-";"-";"-";"-";"3";"1";"2";"-";"-";"-";"2";"-";"-"
"Aparecida do Rio Negro (TO)";"45";"2";"-";"3";"-";"-";"-";"29";"3";"-";"-";"-";"-";"1";"3";"2";"-";"-";"-";"2";"-";"-"
"Aragominas (TO)";"36";"-";"2";"-";"-";"2";"-";"21";"3";"-";"-";"-";"-";"-";"1";"2";"-";"-";"-";"5";"-";"-"
"Araguacema (TO)";"53";"1";"-";"3";"-";"-";"2";"32";"-";"2";"-";"-";"-";"4";"1";"4";"-";"1";"1";"2";"-";"-"
"Araguaçu (TO)";"154";"5";"2";"7";"-";"-";"2";"84";"3";"9";"1";"1";"-";"8";"2";"4";"4";"4";"-";"18";"-";"-"
"Araguaína (TO)";"3386";"22";"8";"223";"1";"8";"179";"1697";"123";"168";"53";"26";"44";"161";"142";"19";"105";"191";"34";"182";"-";"-"
"Araguanã (TO)";"29";"2";"1";"-";"-";"-";"2";"12";"-";"2";"-";"-";"-";"3";"1";"2";"-";"-";"1";"3";"-";"-"
